Discharge location,lat,lon
GHANPUR_SPI,17,79
GHANPUR_SPI,17,79
JANGAON_SPI,17,79
JANGAON_SPI,17,79
KHANAPUR_SPI,17,79
MAHBUBABAD_SPI,17,80
MAHBUBABAD_SPI,17,80
MOGULLAPALLY_SPI,16,79
NARSAMPET_SPI,17,79
NARSAMPET_SPI,17,79
NARSAMPET_SPI,17,79
NEKKONDA_SPI,17,79
PALAKURTHY_SPI,17,79
PARVATHGIRI_SPI,17,79
SANGAM_SPI,17,79
SARVAPUR_SPI,17,79
SHAYAMPET_SPI,17,79
TADVAI_SPI,17,79
THARIGOPPULA_SPI,16,80
VENKATAPUR_SPI,17,79
ZAFARGADH_SPI,17,79
